Incident_ID,Age,Gender,Race,School_Affiliation,Shooter_Outcome,Shooter_Died,Injury
20240501MIFRM,Adult,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,
20240501WIMOM,14,Male,,,Apprehended/Killed by LE,Yes,Fatal
20240430OHGLC,,,,,Fled/Apprehended,No,
20240426WVSCS,43,Male,,No Relation,Fled/Apprehended,No,
20240426TNNON,24,Male,,,Fled/Apprehended,No,
20240424CAMIC,28,Male,,No Relation,Apprehended/Killed by LE,No,
20240424ORGRD,14,Male,,Student,Fled/Apprehended,No,
20240424TXBOA,17,Male,,Student,Fled/Apprehended,No,
20240423ILNER,Adult,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,
20240423UTGRW,Teen,,,Nonstudent,Fled/Apprehended,No,
20240423UTGRW,Teen,,,Nonstudent,Fled/Apprehended,No,
20240422MOLEL,Child,,,Student,Fled/Apprehended,No,
20240422WAWIW,39,Male,,Parent,Fled/Escaped,No,
20240422FLSUR,,,,Police Officer/SRO,Law Enforcement,No,
20240421NYISB,Teen,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,No,
20240419LATIT,17,Male,White,Student,Apprehended/Killed by SRO,No,
